Category,Category Url,Product Description,Rating out of 5,Minimum_price,Maximum_price,Review,Product Url,
Amazon Launchpad,https://www.amazon.in/gp/bestsellers/boost/ref=zg_bs_nav_0,"Sirona Reusable Menstrual Cup for Women - Small Size with Pouch, Ultra Soft, Odour and Rash Free, 100% Medical Grade Silicone, No Leakage, Protection for Up to 8-10 Hours, FDA Approved",4.2,269,449,33396,https://www.amazon.in/Sirona-Approved-Reusable-Menstrual-Silicone/dp/B07BTHDNM1/ref=zg_bs_boost_1/262-4043152-7890801?pd_rd_i=B0B2RZP2XT&psc=1,
Amazon Launchpad,https://www.amazon.in/gp/bestsellers/boost/ref=zg_bs_nav_0,"QUARANT 3 Ply Protective Surgical Face Mask, ISI, BIS, CE & ISO Certified, Melt Blown - SMMS Layer Fabric Disposable Masks with Adjustable Nose Pin (Blue, Without Valve, Pack of 50) for Unisex",4.3,269,1699,10310,https://www.amazon.in/QUARANT-Ply-Protective-Face-Mask/dp/B095GNVP2Y/ref=zg_bs_boost_2/262-4043152-7890801?pd_rd_i=B09791JZKT&psc=1,
Amazon Launchpad,https://www.amazon.in/gp/bestsellers/boost/ref=zg_bs_nav_0,"ASGARD Nonwoven Fabric Disposable 3 Ply Surgical Mask (Black, Without Valve, Pack of 50) for Unisex",4.3,249,399,3445,https://www.amazon.in/Certified-Protective-Bacterial-Filtration-Efficiency/dp/B08WWHKN7C/ref=zg_bs_boost_3/262-4043152-7890801?pd_rd_i=B08WRXWDDD&psc=1,
Amazon Launchpad,https://www.amazon.in/gp/bestsellers/boost/ref=zg_bs_nav_0,Bodywise Biotin Hair Gummies | No Added Sugar | High Potency Biotin Supplements for Stronger Hair | Reduce Hair fall with Delicious Strawberry Flavoured Gummies | Added Zinc & Multivitamins | 60 Day Pack | 60 Gummies,4,846,1349,2652,https://www.amazon.in/Be-Bodywise-Supplements-Strawberry-Multivitamins/dp/B092ZXX7XP/ref=zg_bs_boost_4/262-4043152-7890801?pd_rd_i=B09VK4DVT7&psc=1,
Amazon Launchpad,https://www.amazon.in/gp/bestsellers/boost/ref=zg_bs_nav_0,Alpino Natural Peanut Butter Crunch 1Kg (Unsweetened) and Alpino Natural Peanut Butter Smooth 1Kg (Unsweetened),4.2,159,849,20555,https://www.amazon.in/Alpino-Natural-Peanut-Butter-Unsweetened/dp/B07NXV5FFX/ref=zg_bs_boost_5/262-4043152-7890801?pd_rd_i=B09ZLFTDCL&psc=1,
Amazon Launchpad,https://www.amazon.in/gp/bestsellers/boost/ref=zg_bs_nav_0,"SOLARA Unbreakable Silicone Water Bottle 1 Litre with Motivational Time Marker, Leakproof Durable BPA Free Non-Toxic Bottle for Office , Gym | Detoxing eBook included | Blue Fuchsia(1Pk)",4.5,799,849,3954,https://www.amazon.in/SOLARA-BPA-Free-Unbreakable-Non-Toxic-Detoxing/dp/B08Y1LD4T7/ref=zg_bs_boost_6/262-4043152-7890801?pd_rd_i=B09RQ81BWL&psc=1,
Amazon Launchpad,https://www.amazon.in/gp/bestsellers/boost/ref=zg_bs_nav_0,"Asgard Melt-Blown Fabric Disposable 3 Ply Surgical Mask (Blue, Without Valve, Pack of 100) for Unisex",4.1,249,699,33895,https://www.amazon.in/Certified-Protective-Bacterial-Filtration-Efficiency/dp/B08B1TVYT1/ref=zg_bs_boost_7/262-4043152-7890801?pd_rd_i=B08CL58JBC&psc=1,
Amazon Launchpad,https://www.amazon.in/gp/bestsellers/boost/ref=zg_bs_nav_0,"Bodywise 1% Salicylic Acid Body Wash 250ml and Intimate Wash | 1% Niacinamide, Lactic Acid& Tea Tree | Helps to Prevent Body Acne & Cleanse Skin | Paraben and Sulphate Free| 85 grams",4.3,349,663,156,https://www.amazon.in/Bodywise-Salicylic-Intimate-Niacinamide-Sulphate/dp/B09W5Q9ZPZ/ref=zg_bs_boost_8/262-4043152-7890801?pd_rd_i=B09Z4QRH8G&psc=1,
Amazon Launchpad,https://www.amazon.in/gp/bestsellers/boost/ref=zg_bs_nav_0,"Desidiya? USB 5V 5050 RGB LED Flexible Strip Light Multi-Color Changing Lighting Kit, TV Background Lighting with Mini Controller for TV PC Laptop Bias Lighting (1 Meter for TV's Up to 28"")",4,99,1299,14283,https://www.amazon.in/5V-Multi-Color-TV-Background-Controller/dp/B09W1F9N5V/ref=zg_bs_boost_9/262-4043152-7890801?pd_rd_i=B09JWDTQNC&psc=1,
Amazon Launchpad,https://www.amazon.in/gp/bestsellers/boost/ref=zg_bs_nav_0,Mother Sparsh 99% Pure Water (Unscented) Baby Wipes (72 Unscented Baby Wipes) - Super Thick Fabric,4.5,199,2199,4697,https://www.amazon.in/Mother-Sparsh-Water-Wipes-Unscented/dp/B07JPX7T1C/ref=zg_bs_boost_10/262-4043152-7890801?pd_rd_i=B08D16RN65&psc=1,
